setpoint,position,motor control input,current
60.000000,-2.000000,-1.920000,-0.150859
60.000000,-1.000000,-1.890000,-2.265117
60.000000,-2.000000,-1.920000,-0.995586
60.000000,-1.000000,-1.890000,-1.278789
60.000000,-1.000000,-1.890000,-1.332500
60.000000,0.000000,-1.860000,-1.449687
60.000000,0.000000,-1.860000,-1.234844
60.000000,1.000000,-1.830000,-1.425273
60.000000,2.000000,-1.800000,-1.137187
60.000000,3.000000,-1.770000,-1.186016
60.000000,4.000000,-1.740000,-1.015117
60.000000,6.000000,-1.680000,-0.990703
60.000000,6.000000,-1.680000,-0.912578
60.000000,7.000000,-1.650000,-0.814922
60.000000,9.000000,-1.590000,-0.819805
60.000000,10.000000,-1.560000,-0.775859
60.000000,12.000000,-1.500000,-0.770977
60.000000,13.000000,-1.470000,-0.717266
60.000000,14.000000,-1.440000,-0.707500
60.000000,16.000000,-1.380000,-0.707500
60.000000,16.000000,-1.380000,-0.717266
60.000000,18.000000,-1.320000,-0.712383
60.000000,19.000000,-1.290000,-0.697734
60.000000,21.000000,-1.230000,-0.697734
60.000000,23.000000,-1.170000,-0.707500
60.000000,24.000000,-1.140000,-0.673320
60.000000,26.000000,-1.080000,-0.678203
60.000000,27.000000,-1.050000,-0.668437
60.000000,29.000000,-0.990000,-0.624492
60.000000,31.000000,-0.930000,-0.658672
60.000000,31.000000,-0.930000,-0.648906
60.000000,32.000000,-0.900000,-0.653789
60.000000,33.000000,-0.870000,-0.644023
60.000000,35.000000,-0.810000,-0.634258
60.000000,37.000000,-0.750000,-0.653789
60.000000,38.000000,-0.720000,-0.644023
60.000000,40.000000,-0.660000,-0.634258
60.000000,41.000000,-0.630000,-0.468242
60.000000,42.000000,-0.600000,-0.409648
60.000000,44.000000,-0.540000,-0.336406
60.000000,45.000000,-0.510000,-0.141094
60.000000,47.000000,-0.450000,-0.160625
60.000000,48.000000,-0.420000,0.020039
60.000000,48.000000,-0.420000,-0.019023
60.000000,50.000000,-0.360000,-0.126445
60.000000,50.000000,-0.360000,0.088398
60.000000,52.000000,-0.300000,-0.082500
60.000000,52.000000,-0.300000,0.107930
60.000000,53.000000,-0.270000,-0.023906
60.000000,54.000000,-0.240000,0.015156
60.000000,54.000000,-0.240000,0.054219
60.000000,55.000000,-0.210000,-0.038555
60.000000,55.000000,-0.210000,0.020039
