setpoint,position,motor control input,current
30.000000,20.000000,-0.260000,-0.272930
30.000000,20.000000,-0.260000,-0.204570
30.000000,21.000000,-0.240000,-0.292461
30.000000,21.000000,-0.240000,-0.160625
30.000000,22.000000,-0.220000,-0.268047
30.000000,22.000000,-0.220000,-0.165508
30.000000,22.000000,-0.220000,-0.248516
30.000000,23.000000,-0.200000,-0.258281
30.000000,23.000000,-0.200000,-0.155742
30.000000,23.000000,-0.200000,-0.233867
30.000000,24.000000,-0.180000,-0.253398
30.000000,23.000000,-0.200000,-0.170391
30.000000,24.000000,-0.180000,-0.346172
30.000000,24.000000,-0.180000,-0.160625
30.000000,24.000000,-0.180000,-0.248516
30.000000,24.000000,-0.180000,-0.268047
30.000000,25.000000,-0.160000,-0.287578
30.000000,25.000000,-0.160000,-0.214336
30.000000,25.000000,-0.160000,-0.292461
30.000000,25.000000,-0.160000,-0.194805
30.000000,26.000000,-0.140000,-0.277812
30.000000,25.000000,-0.160000,-0.175273
30.000000,26.000000,-0.140000,-0.307109
30.000000,26.000000,-0.140000,-0.204570
30.000000,26.000000,-0.140000,-0.209453
30.000000,26.000000,-0.140000,-0.253398
30.000000,26.000000,-0.140000,-0.214336
30.000000,26.000000,-0.140000,-0.277812
30.000000,26.000000,-0.140000,-0.253398
30.000000,26.000000,-0.140000,-0.268047
30.000000,27.000000,-0.120000,-0.297344
30.000000,26.000000,-0.140000,-0.121562
30.000000,27.000000,-0.120000,-0.395000
30.000000,26.000000,-0.140000,-0.165508
30.000000,26.000000,-0.140000,-0.399883
30.000000,27.000000,-0.120000,-0.302227
30.000000,26.000000,-0.140000,-0.199687
30.000000,27.000000,-0.120000,-0.395000
30.000000,27.000000,-0.120000,-0.180156
30.000000,26.000000,-0.140000,-0.277812
30.000000,27.000000,-0.120000,-0.375469
30.000000,26.000000,-0.140000,-0.180156
30.000000,27.000000,-0.120000,-0.409648
30.000000,27.000000,-0.120000,-0.180156
30.000000,26.000000,-0.140000,-0.277812
30.000000,27.000000,-0.120000,-0.375469
30.000000,26.000000,-0.140000,-0.180156
30.000000,27.000000,-0.120000,-0.399883
30.000000,27.000000,-0.120000,-0.175273
30.000000,26.000000,-0.140000,-0.268047
30.000000,27.000000,-0.120000,-0.370586
30.000000,26.000000,-0.140000,-0.165508
30.000000,27.000000,-0.120000,-0.399883
30.000000,27.000000,-0.120000,-0.170391
30.000000,27.000000,-0.120000,-0.263164
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.277812
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.277812
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.297344
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.307109
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.302227
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.297344
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.302227
30.000000,26.000000,-0.140000,-0.277812
30.000000,27.000000,-0.120000,-0.438945
30.000000,27.000000,-0.120000,-0.214336
30.000000,27.000000,-0.120000,-0.326641
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.297344
30.000000,27.000000,-0.120000,-0.282695
